india_date,india_open,close_30,high_30,low_30,vol_30,ret_30,dir_30,close_60,high_60,low_60,vol_60,ret_60,dir_60,prev_close,gap_pct,gap_dir,SP500_ret,SP500_dir,NASDAQ_ret,NASDAQ_dir,DOW_ret,DOW_dir,NIKKEI_ret,NIKKEI_dir,HANGSENG_ret,HANGSENG_dir,SHANGHAI_ret,SHANGHAI_dir,KOSPI_ret,KOSPI_dir,FTSE_ret,FTSE_dir,DAX_ret,DAX_dir,CAC_ret,CAC_dir,ASX200_ret,ASX200_dir,SGX_NIFTY_ret,SGX_NIFTY_dir,global_ref_date,composite,sentiment
2024-11-11,24087.25,24145.7,24157.45,24004.6,0.0,0.0024265949828228927,1.0,24123.15,24178.7,24004.6,0.0,0.0014904150536072592,1.0,24148.19921875,-0.0025239653772060836,-1.0,0.0037568333092317108,1.0,0.0008987464377530063,1.0,0.005937625366121635,1.0,0.0030207383897125073,1.0,-0.010745322335434682,-1.0,-0.005291144862694219,-1.0,-0.0013569133277561152,-1.0,-0.008389977683747385,-1.0,-0.007594004605789406,-1.0,-0.011706821622226582,-1.0,0.0011465675929176466,1.0,-0.014095142209916922,-1.0,2024-11-08,0.010599654505339494,Neutral
2024-11-12,24225.8,24153.9,24242.0,24132.9,0.0,-0.0029679102444500416,-1.0,24164.35,24242.0,24120.15,0.0,-0.0025365519404932234,-1.0,24141.30078125,0.0035001932793790424,1.0,0.0009690634297987444,1.0,0.0006211751877069904,1.0,0.006914017277583895,1.0,0.0008341496000581206,1.0,-0.014533819574848672,-1.0,0.005146949470139495,1.0,-0.011514355410196075,-1.0,0.006540842080112963,1.0,0.012131840315110498,1.0,0.012019883967606226,1.0,-0.0034839140484628217,-1.0,0.013020168496298279,1.0,2024-11-11,-0.0845557584329915,Bearish
2024-11-13,23822.45,23755.6,23873.6,23753.55,0.0,-0.0028061765267637117,-1.0,23694.55,23873.6,23689.45,0.0,-0.005368885232207496,-1.0,23883.44921875,-0.002554037241074504,-1.0,-0.00289265965137242,-1.0,-0.000899507284966572,-1.0,-0.008627713754628785,-1.0,-0.0039771632513316835,-1.0,-0.028396280645150207,-1.0,-0.013860240238254162,-1.0,-0.019390378429264832,-1.0,-0.012233592802100457,-1.0,-0.021336188348233254,-1.0,-0.026915731168126733,-1.0,-0.001282401307375891,-1.0,-0.009576612903225756,-1.0,2024-11-12,0.08654749557498771,Bullish
2024-11-14,23542.15,23575.05,23645.3,23500.65,0.0,0.0013974934319931618,1.0,23616.9,23675.9,23500.65,0.0,0.003175156049893489,1.0,23559.05078125,-0.0007173795500899133,0.0,0.00023222772482434095,1.0,-0.0026284235830008607,-1.0,0.0010751510669091413,1.0,-0.016619976490730104,-1.0,-0.0011806208134681473,-1.0,0.005057936106082739,1.0,-0.02637991614780666,-1.0,0.0005606917826896929,1.0,-0.0016040677977232631,-1.0,-0.0014044458918083258,-1.0,-0.0075341854853725465,-1.0,-0.007506361323155186,-1.0,2024-11-13,0.017446169596074673,Neutral
2024-11-18,23605.3,23368.35,23606.8,23366.45,0.0,-0.010037999940691317,-1.0,23450.0,23606.8,23362.35,0.0,-0.006579030980330657,-1.0,23532.69921875,0.0030851021625327877,1.0,-0.013203489851361216,-1.0,-0.022374872957156677,-1.0,-0.006991201958532978,-1.0,0.0027821199478283987,1.0,-0.0004872810990906862,-1.0,-0.01453117603875409,-1.0,-0.0008268357454254138,-1.0,-0.0009416316622481435,-1.0,-0.0027455096383316446,-1.0,-0.005767379168117426,-1.0,0.007441657990333139,1.0,-0.024490319271701533,-1.0,2024-11-15,0.09248511161843605,Bullish
2024-11-19,23529.55,23702.6,23702.6,23517.1,0.0,0.007354581791831943,1.0,23691.85,23709.6,23517.1,0.0,0.006897709475956798,1.0,23453.80078125,0.0032297203961311263,1.0,0.003917814394541086,1.0,0.005979159201779272,1.0,-0.0012748701505325144,-1.0,-0.010922018865645367,-1.0,0.007735349657148394,1.0,-0.002064700900572536,-1.0,0.021602392615596377,1.0,0.005667407420729242,1.0,-0.001125464940547105,-1.0,0.0011830172642741665,1.0,0.0018104571581125661,1.0,0.008543638275499532,1.0,2024-11-18,-0.028022938397029157,Neutral
2024-11-21,23488.45,23321.6,23507.3,23263.15,0.0,-0.007103491290400268,-1.0,23308.75,23507.3,23263.15,0.0,-0.007650568683757367,-1.0,23518.5,-0.0012777175415098442,0.0,2.195086225209586e-05,1.0,-0.0011233764864474471,-1.0,0.003224653509314779,1.0,-0.0016163156463625539,-1.0,0.0021023463023051026,1.0,0.006568720309294562,1.0,0.0041829681404848,1.0,-0.001716249209007259,-1.0,-0.0029134493828645303,-1.0,-0.004314176199149755,-1.0,-0.005696225855326031,-1.0,0.0003916449086160956,1.0,2024-11-20,-0.019837762516138502,Neutral
2024-11-22,23411.8,23463.75,23541.1,23359.0,0.0,0.002218966504070628,1.0,23575.5,23608.95,23359.0,0.0,0.006992200514270613,1.0,23349.900390625,0.0026509581771000617,1.0,0.0053404615405816536,1.0,0.00033107931651232825,1.0,0.010640384832740768,1.0,-0.00850451289488019,-1.0,-0.005272790618264578,-1.0,0.0007170566924941113,1.0,-0.0006688002706674023,-1.0,0.00794049625308424,1.0,0.007439740435357223,1.0,0.002065670873979686,1.0,-0.00039631105832171887,-1.0,-0.0013049719431031948,-1.0,2024-11-21,-0.04450467158316904,Neutral
2024-11-25,24253.55,24290.0,24330.7,24212.25,0.0,0.001502872775325704,1.0,24261.75,24330.7,24212.25,0.0,0.0003380948356014162,1.0,23907.25,0.014485145719394714,1.0,0.003467959094991535,1.0,0.0016460983300286003,1.0,0.009714081174910794,1.0,0.00677637728949021,1.0,-0.01893457481280958,-1.0,-0.0306230815618056,-1.0,0.008308416972913069,1.0,0.013841656018424686,1.0,0.009214371469326466,1.0,0.0057795775623694645,1.0,0.00850652465306978,1.0,0.009277407552593653,1.0,2024-11-22,-0.08654749557498771,Bearish
2024-11-26,24343.3,24261.25,24343.3,24258.1,0.0,-0.0033705372730894858,-1.0,24236.45,24343.3,24207.0,0.0,-0.004389298082018401,-1.0,24221.900390625,0.005011977071047099,1.0,0.003020480305938378,1.0,0.0026936642209673956,1.0,0.009934384823438114,1.0,0.01296340473188251,1.0,-0.004107154918190581,-1.0,-0.0010504080802139493,-1.0,0.01323347531043928,1.0,0.003582695360379473,1.0,0.004275274467243406,1.0,0.00033913796097251314,1.0,0.002835402945184473,1.0,0.005308130502330366,1.0,2024-11-25,-0.08654749557498771,Bearish
