date,combo,p_down,gap_pct,nifty_spot_925,expiry,dte,atm,strike,opt_type,entry_premium,exit_premium,exit_reason,exit_time,lots,buy_value,sell_value,gross_pnl,charges_total,charges_brok,charges_stt,charges_stamp,charges_exch,charges_sebi,charges_gst,net_pnl,pct_return,capital_after,refilled
2024-09-20,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0043,25491.2,2024-09-26,6,25500,25450,PE,137.3,116.71,STOP_LOSS,09:51,25,257437.5,218831.25,-38606.25,490.1131,40.0,136.7695,7.7231,252.4224,0.4763,52.7218,-39096.36,-9.7221,363044.62,0.0
2024-10-09,Gap Up + SGX UP + VIX Falling,68.3,0.0021,25070.5,2024-10-10,1,25050,25000,PE,111.3,94.6,STOP_LOSS,10:05,25,208687.5,177375.0,-31312.5,406.219,40.0,110.8594,6.2606,204.6131,0.3861,44.0999,-31718.72,-8.7369,331325.9,0.0
2024-10-10,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0034,25049.4,2024-10-10,0,25050,25000,PE,58.3,49.55,STOP_LOSS,09:29,10,43725.0,37162.5,-6555.0,122.4208,40.0,23.2266,1.3117,42.8704,0.0809,14.9312,-6677.42,-2.0154,324648.48,0.0
2024-10-15,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0023,25192.6,2024-10-17,2,25200,25150,PE,74.7,104.58,TAKE_PROFIT,09:46,25,140062.5,196087.5,56025.0,384.5814,40.0,122.5547,4.2019,178.1595,0.3362,39.3292,55640.42,17.1387,380288.89,0.0
2024-10-17,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0022,24940.6,2024-10-17,0,24950,24900,PE,38.2,32.47,STOP_LOSS,09:32,10,28650.0,24352.5,-4297.5,96.4901,40.0,15.2203,0.8595,28.0913,0.053,12.266,-4393.99,-1.1554,375894.9,0.0
2024-11-06,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0039,24264.2,2024-11-07,1,24250,24200,PE,104.2,88.57,STOP_LOSS,09:26,25,195375.0,166068.75,-29306.25,383.3276,40.0,103.793,5.8613,191.5652,0.3614,41.7468,-29689.58,-7.8984,346205.33,0.0
2024-11-12,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0035,24200.8,2024-11-14,2,24200,24150,PE,90.9,127.26,TAKE_PROFIT,09:37,25,170437.5,238612.5,68175.0,457.7485,40.0,149.1328,5.1131,216.7965,0.409,46.297,67717.25,19.5599,413922.58,0.0
2024-11-19,Gap Up + Prev India DOWN + US UP + SGX UP,74.6,0.0032,23640.2,2024-11-21,2,23650,23600,PE,89.9,76.42,STOP_LOSS,09:33,25,168562.5,143287.5,-25275.0,337.2105,40.0,89.5547,5.0569,165.2805,0.3118,37.0066,-25612.21,-6.1877,388310.37,0.0
2024-11-22,Gap Up + Prev India DOWN + US UP + DAX UP,70.7,0.0027,23499.3,2024-11-28,6,23500,23450,PE,149.1,126.73,STOP_LOSS,10:05,25,279562.5,237618.75,-41943.75,528.154,40.0,148.5117,8.3869,274.1061,0.5172,56.6322,-42471.9,-10.9376,345838.46,0.0
2024-11-26,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.005,24309.2,2024-11-28,2,24300,24250,PE,106.1,148.54,TAKE_PROFIT,10:16,25,198937.5,278512.5,79575.0,526.3991,40.0,174.0703,5.9681,253.0485,0.4774,52.8347,79048.6,22.8571,424887.06,0.0
2024-12-03,Gap Up + SGX UP + DAX UP + VIX Falling,70.0,0.0038,24302.7,2024-12-05,2,24300,24250,PE,131.6,111.86,STOP_LOSS,09:51,25,246750.0,209737.5,-37012.5,471.7144,40.0,131.0859,7.4025,241.9384,0.4565,50.8311,-37484.21,-8.8222,387402.85,0.0
2024-12-05,Gap Up + SGX UP + DAX UP,68.2,0.0029,24509.8,2024-12-05,0,24500,24450,PE,94.45,132.23,TAKE_PROFIT,09:38,10,70837.5,99172.5,28335.0,217.8328,40.0,61.9828,2.1251,90.1053,0.17,23.4496,28117.17,7.2579,415520.02,0.0
