date,status,reason,capital,exit_reason,net_pnl
2024-06-18,NO_SIGNAL,no combo fired,272477.0,,
2024-06-19,TRADE,,314586.9,TAKE_PROFIT,42109.89
2024-06-20,NO_SIGNAL,no combo fired,314586.9,,
2024-06-21,NO_SIGNAL,no combo fired,314586.9,,
2024-06-24,SKIP,Monday,314586.9,,
2024-06-25,TRADE,,288273.04,STOP_LOSS,-26313.86
2024-06-26,NO_SIGNAL,no combo fired,288273.04,,
2024-06-27,NO_SIGNAL,no combo fired,288273.04,,
2024-06-28,TRADE,,249935.4,STOP_LOSS,-38337.64
2024-07-01,SKIP,Monday,249935.4,,
2024-07-02,TRADE,,325107.48,TAKE_PROFIT,75172.09
2024-07-03,TRADE,,305317.66,STOP_LOSS,-19789.82
2024-07-04,TRADE,,300946.43,STOP_LOSS,-4371.23
2024-07-05,NO_SIGNAL,no combo fired,300946.43,,
2024-07-08,SKIP,Monday,300946.43,,
2024-07-09,NO_SIGNAL,no combo fired,300946.43,,
2024-07-10,NO_SIGNAL,no combo fired,300946.43,,
2024-07-11,TRADE,,297030.36,STOP_LOSS,-3916.07
2024-07-12,NO_SIGNAL,no combo fired,297030.36,,
2024-07-15,SKIP,Monday,297030.36,,
2024-07-16,NO_SIGNAL,no combo fired,297030.36,,
2024-07-18,NO_SIGNAL,no combo fired,297030.36,,
2024-07-19,NO_SIGNAL,no combo fired,297030.36,,
2024-07-22,SKIP,Monday,297030.36,,
2024-07-23,TRADE,,277904.09,HARD_EXIT_1115,-19126.27
2024-07-24,NO_SIGNAL,no combo fired,277904.09,,
2024-07-25,NO_SIGNAL,no combo fired,277904.09,,
2024-07-26,NO_SIGNAL,no combo fired,277904.09,,
2024-07-29,SKIP,Monday,277904.09,,
2024-07-30,NO_SIGNAL,no combo fired,277904.09,,
2024-07-31,NO_SIGNAL,no combo fired,277904.09,,
2024-08-01,TRADE,,273942.5,STOP_LOSS,-3961.59
2024-08-02,NO_SIGNAL,no combo fired,273942.5,,
2024-08-05,SKIP,Monday,273942.5,,
2024-08-06,NO_SIGNAL,no combo fired,273942.5,,
2024-08-07,TRADE,,326936.45,TAKE_PROFIT,52993.95
2024-08-08,NO_SIGNAL,no combo fired,326936.45,,
2024-08-09,TRADE,,343380.77,HARD_EXIT_1115,16444.32
2024-08-12,SKIP,Monday,343380.77,,
2024-08-13,NO_SIGNAL,no combo fired,343380.77,,
2024-08-14,TRADE,,338493.74,STOP_LOSS,-4887.03
2024-08-16,TRADE,,427420.0,TAKE_PROFIT,88926.26
2024-08-19,SKIP,Monday,427420.0,,
2024-08-20,TRADE,,407705.98,STOP_LOSS,-19714.02
2024-08-21,NO_SIGNAL,no combo fired,407705.98,,
2024-08-22,TRADE,,404169.23,STOP_LOSS,-3536.75
2024-08-23,NO_SIGNAL,no combo fired,404169.23,,
2024-08-26,SKIP,Monday,404169.23,,
2024-08-27,NO_SIGNAL,no combo fired,404169.23,,
2024-08-28,NO_SIGNAL,no combo fired,404169.23,,
2024-08-29,NO_SIGNAL,no combo fired,404169.23,,
2024-08-30,TRADE,,385852.51,HARD_EXIT_1115,-18316.73
2024-09-02,SKIP,Monday,385852.51,,
2024-09-03,NO_SIGNAL,no combo fired,385852.51,,
2024-09-04,NO_SIGNAL,no combo fired,385852.51,,
2024-09-05,NO_SIGNAL,no combo fired,385852.51,,
2024-09-06,NO_SIGNAL,no combo fired,385852.51,,
2024-09-09,SKIP,Monday,385852.51,,
2024-09-10,TRADE,,443431.18,TAKE_PROFIT,57578.68
2024-09-11,NO_SIGNAL,no combo fired,443431.18,,
