S1,S2,S3,N,P_down,edge
Gap Down,Prev India DOWN,SGX DOWN,78,44.871794871794876,-9.661358037542072
Gap Up (>0.15%),Prev India DOWN,US (SP500) DOWN,29,44.827586206896555,-9.705566702440393
Gap Up (>0.15%),US (SP500) UP,SGX DOWN,44,43.18181818181818,-11.351334727518768
Gap Down,Prev India DOWN,Europe (DAX) UP,29,41.37931034482759,-13.153842564509361
Gap Up (>0.15%),SGX DOWN,VIX Falling >3%,17,41.17647058823529,-13.356682321101658
Gap Down,Prev India UP,SGX UP,22,40.909090909090914,-13.624062000246035
Gap Down,Prev India UP,Europe (DAX) UP,27,40.74074074074074,-13.792412168596208
Prev India DOWN,US (SP500) DOWN,SGX UP,35,40.0,-14.533152909336948
Gap Down,Prev India UP,US (SP500) UP,18,38.88888888888889,-15.644264020448055
Gap Up (>0.15%),Prev India DOWN,SGX DOWN,39,38.46153846153847,-16.07161444779848
Gap Up (>0.15%),Gap Up Strong (>0.5%),SGX DOWN,21,38.095238095238095,-16.437914814098853
Prev India DOWN,US (SP500) UP,SGX DOWN,45,31.11111111111111,-23.422041798225838
Gap Down,US (SP500) UP,SGX DOWN,17,29.411764705882355,-25.121388203454593
Gap Down,SGX UP,Europe (DAX) UP,24,29.166666666666668,-25.36648624267028
Gap Down,Prev India DOWN,SGX UP,19,26.31578947368421,-28.21736343565274
Gap Down,US (SP500) UP,Europe (DAX) UP,22,22.727272727272727,-31.80588018206422
Gap Down,US (SP500) UP,SGX UP,24,20.833333333333336,-33.69981957600361
Gap Down,Prev India DOWN,US (SP500) UP,24,12.5,-42.03315290933695
