india_date,india_open,ret_30,ret_60,dir_30,dir_60,gap_pct,gap_dir,prev_india_ret,SP500_ret,SP500_dir,SP500_level,NASDAQ_ret,NASDAQ_dir,NASDAQ_level,DOW_ret,DOW_dir,DOW_level,NIKKEI_ret,NIKKEI_dir,NIKKEI_level,DAX_ret,DAX_dir,DAX_level,HANGSENG_ret,HANGSENG_dir,HANGSENG_level,FTSE_ret,FTSE_dir,FTSE_level,SGX_ret,SGX_dir,SGX_level,VIX_US_ret,VIX_US_dir,VIX_US_level,VIX_EU_ret,VIX_EU_dir,VIX_EU_level,VIX_US_spike,VIX_EU_spike,VIX_INDIA_level,VIX_INDIA_ret,VIX_INDIA_spike,composite,sentiment
2025-06-09,25160.1,-0.002054840799519759,-0.0016275769969116614,-1.0,-1.0,0.006281202247038233,1.0,0.01018752395450262,0.010280683010067904,1.0,6000.35986328125,0.011995782530291654,1.0,19529.94921875,0.010471066941742713,1.0,42762.87109375,0.0049826559304610996,1.0,37741.609375,-0.0007860331646736274,-1.0,24304.4609375,-0.004786538706472054,-1.0,23792.5390625,0.0030530462631936928,1.0,8837.900390625,0.013468462461661446,1.0,38000.0,-0.0925324202830431,-1.0,16.770000457763672,,,,0.0,0.0,14.630000114440918,-0.029840836309138807,0.0,-0.012413198733609049,Bearish
2025-06-10,25196.05,-0.0034529221842312585,-0.0015538149829039797,-1.0,-1.0,0.003698762872448842,1.0,0.004005448710087123,0.0009199480792858594,1.0,6005.8798828125,0.003138309011380125,1.0,19591.240234375,-2.5942481681529017e-05,-1.0,42761.76171875,0.009193061537270397,1.0,38088.5703125,-0.005354598291015922,-1.0,24174.3203125,0.01634506615617748,1.0,24181.4296875,-0.0006337009572364716,-1.0,8832.2998046875,0.0060526315789473095,1.0,38230.0,0.0232557769232431,1.0,17.15999984741211,,,,0.0,0.0,14.6899995803833,0.004101125459538446,0.0,-0.004872357119010683,Neutral
2025-06-11,25134.15,-0.00031630271960662,0.00048539536845276603,-1.0,1.0,0.0011910333907605866,0.0,4.18584595869298e-05,0.00548298940767844,1.0,6038.81005859375,0.006316598567499998,1.0,19714.990234375,0.0024580225597654604,1.0,42866.87109375,0.003227776869578536,1.0,38211.51171875,-0.0077255436020855495,-1.0,23987.560546875,-0.0007675537433005086,-1.0,24162.869140625,0.0023549704094578683,1.0,8853.099609375,0.003662045513994183,1.0,38370.0,-0.012237708994171426,-1.0,16.950000762939453,,,,0.0,0.0,14.020000457763672,-0.0456091995750858,0.0,-0.01182050188240629,Bearish
2025-06-12,25164.45,-0.002422067639070225,-0.0026883162556702593,-1.0,-1.0,0.0009167989458373893,0.0,0.0014798446727146697,-0.002743888954607865,-1.0,6022.240234375,-0.005027107486322402,-1.0,19615.880859375,-2.5697291915482978e-05,-1.0,42865.76953125,0.00548734342266588,1.0,38421.19140625,-0.001611675192000117,-1.0,23948.900390625,0.008445615928817762,1.0,24366.939453125,0.0012764773637057303,1.0,8864.400390625,-0.0009121709669012157,-1.0,38335.0,0.01828905321468688,1.0,17.260000228881836,,,,0.0,0.0,13.670000076293944,-0.024964363055773875,0.0,0.01823870145429122,Bullish
2025-06-13,24473.0,0.006055653168798298,0.006993421321456359,1.0,1.0,-0.01668257374110063,-1.0,-0.010071084662786611,0.0038224199557175265,1.0,6045.259765625,0.002376104103309906,1.0,19662.490234375,0.0023760581838090378,1.0,42967.62109375,-0.006457414604265521,-1.0,38173.08984375,-0.007409574927476181,-1.0,23771.44921875,-0.013606903500861245,-1.0,24035.380859375,0.0023126211696935517,1.0,8884.900390625,-0.0036520151297769754,-1.0,38195.0,0.04403245763636199,1.0,18.020000457763672,,,,0.0,0.0,14.020000457763672,0.02560353910141422,0.0,-0.0026262750886125413,Neutral
2025-06-16,24732.35,0.0013201333476196746,0.0012675706109610363,1.0,1.0,0.0005562770886010648,0.0,-0.006814458847919758,-0.011296379879250695,-1.0,5976.97021484375,-0.013002430170469537,-1.0,19406.830078125,-0.01791656162602817,-1.0,42197.7890625,-0.008876406000586812,-1.0,37834.25,-0.010736356359741572,-1.0,23516.23046875,-0.005942086515524969,-1.0,23892.560546875,-0.0038605701518267255,-1.0,8850.599609375,-0.003534494043722969,-1.0,38060.0,0.15538286159444614,1.0,20.81999969482422,,,,1.0,0.0,15.079999923706056,0.07560623618634787,1.0,0.01941023558268772,Bullish
2025-06-17,24977.85,-0.00390145669062778,-0.005050474720602367,-1.0,-1.0,0.0012566893151343293,0.0,0.00921979376770854,0.009392659896159117,1.0,6033.10986328125,0.015168930638848721,1.0,19701.2109375,0.007519369812954979,1.0,42515.08984375,0.012609688972293531,1.0,38311.328125,0.0077771253397960205,1.0,23699.119140625,0.00704946157485109,1.0,24060.990234375,0.0027795389039451113,1.0,8875.2001953125,0.015239096163951693,1.0,38640.0,-0.08213252207192667,-1.0,19.110000610351562,,,,0.0,0.0,14.84000015258789,-0.015915104266073787,0.0,-0.018912410923186396,Bearish
2025-06-18,24788.35,0.006029041868458399,0.005187920938666841,1.0,1.0,-0.00261736380545896,-1.0,-0.0037319707924959866,-0.008352184790166306,-1.0,5982.72021484375,-0.009142640740278152,-1.0,19521.08984375,-0.007039596143391336,-1.0,42215.80078125,0.00588364244420192,1.0,38536.73828125,-0.01115943375071049,-1.0,23434.650390625,-0.0033535383348322068,-1.0,23980.30078125,-0.004642170813708546,-1.0,8834.0,-0.007246376811594235,-1.0,38360.0,0.130298257016767,1.0,21.600000381469727,,,,1.0,0.0,14.399999618530272,-0.029649631370178176,0.0,0.01897594046325451,Bullish
2025-06-19,24803.25,0.0014655337506172999,0.0012075030489956246,1.0,1.0,-0.0003546978574076829,0.0,-0.0016637405234334324,-0.0003092402101070313,-1.0,5980.8701171875,0.0012898709908895079,1.0,19546.26953125,-0.0010455948763999912,-1.0,42171.66015625,0.009040987166771153,1.0,38885.1484375,-0.004985772853549397,-1.0,23317.810546875,-0.011243033629328214,-1.0,23710.689453125,0.0010753905365632477,1.0,8843.5,0.010036496350364965,1.0,38745.0,-0.06759263731651588,-1.0,20.139999389648438,,,,0.0,0.0,14.279999732971191,-0.008333325606804998,0.0,0.003228244718369832,Neutral
2025-06-20,24787.65,0.0034977095448740433,0.005301026922681166,1.0,1.0,-0.00022586792776253798,0.0,-0.0007577278241026608,,,,,,,,,,-0.010204631065965697,-1.0,38488.33984375,-0.011168702437841072,-1.0,23057.380859375,-0.01994666665788014,-1.0,23237.740234375,-0.005846123742013876,-1.0,8791.7998046875,,,,,,,,,,0.0,0.0,14.260000228881836,-0.0014005255226425817,0.0,0.008450729188479394,Bullish
2025-06-23,24939.75,-0.0027446145209956284,-0.003073406910654736,-1.0,-1.0,-0.006875105045292847,-1.0,0.01287247095983779,-0.002178658486505891,-1.0,5967.83984375,-0.00505771062053284,-1.0,19447.41015625,0.0008337389640276083,1.0,42206.8203125,-0.0022113028347160446,-1.0,38403.23046875,0.012714797212355577,1.0,23350.55078125,0.012597620569919199,1.0,23530.48046875,-0.0019449498117419806,-1.0,8774.7001953125,-0.008775325848496607,-1.0,38405.0,0.023833240522920462,1.0,20.6200008392334,,,,0.0,0.0,13.670000076293944,-0.041374484089623076,0.0,0.004937548463126474,Neutral
2025-06-24,25179.9,-0.00014297117939317402,0.002092939209448691,-1.0,1.0,0.008329346430241611,1.0,-0.0055948454872697395,0.009606504133156335,1.0,6025.169921875,0.009438817066138139,1.0,19630.970703125,0.0088838944683296,1.0,42581.78125,-0.0012795961277264345,-1.0,38354.08984375,-0.0034920382130975147,-1.0,23269.009765625,0.006742335365216956,1.0,23689.130859375,-0.0019032211859980608,-1.0,8758.0,0.007551100117172194,1.0,38695.0,-0.03831236097838653,-1.0,19.829999923706055,,,,0.0,0.0,14.050000190734863,0.027798106241411213,0.0,-0.011880622685625303,Bearish
2025-06-25,25150.35,0.001506937279202932,0.0009363686787660176,1.0,1.0,0.004232507223318699,1.0,0.0029012296868362597,0.01112172017970181,1.0,6092.18017578125,0.01434257113455839,1.0,19912.529296875,0.011912096355762403,1.0,43089.01953125,0.011379979339312118,1.0,38790.55859375,0.016011438228471286,1.0,23641.580078125,0.020597608921219646,1.0,24177.0703125,0.00011418131993612413,1.0,8759.0,0.004393332471895661,1.0,38865.0,-0.11850733184624906,-1.0,17.479999542236328,,,,0.0,0.0,13.640000343322754,-0.02918148340542226,0.0,-0.01913446602692254,Bearish
2025-06-26,25268.95,0.0030927284275760495,0.004640081997866947,1.0,1.0,0.000958615157607056,0.0,0.008001820520425307,-3.2861029504172024e-06,-1.0,6092.16015625,0.0030644768158396563,1.0,19973.55078125,-0.0024737124425098234,-1.0,42982.4296875,0.0039058916458709625,1.0,38942.0703125,-0.006059239675462513,-1.0,23498.330078125,0.012309167551253442,1.0,24474.669921875,-0.004589587317330723,-1.0,8718.7998046875,0.004245465071401,1.0,39030.0,-0.041189893147009715,-1.0,16.760000228881836,,,,0.0,0.0,12.960000038146973,-0.049853393552784175,0.0,0.003220028908029787,Neutral
2025-06-27,25576.65,-0.0016245286227869133,-0.0003518834561993068,-1.0,-1.0,0.001082234138322496,0.0,0.012052010814129765,0.008020121275230219,1.0,6141.02001953125,0.009730837402353698,1.0,20167.91015625,0.009408731874634091,1.0,43386.83984375,0.016499066622396752,1.0,39584.578125,0.00642474178475938,1.0,23649.30078125,-0.006098939504658452,-1.0,24325.400390625,0.0019268483121344104,1.0,8735.599609375,0.02062516013323079,1.0,39835.0,-0.010143202504316884,-1.0,16.59000015258789,,,,0.0,0.0,12.59000015258789,-0.028549373801698308,0.0,-0.018614193533444352,Bearish
2025-06-30,25661.65,-0.0027765167087852884,-0.0029323913310328837,-1.0,-1.0,0.0009302365266619666,0.0,0.003475704773181043,0.005218970885222163,1.0,6173.06982421875,0.005233600330041721,1.0,20273.4609375,0.009966839923288173,1.0,43819.26953125,0.014303826498087702,1.0,40150.7890625,0.01623388046125185,1.0,24033.220703125,-0.0016957583159000755,-1.0,24284.150390625,0.00724630066401688,1.0,8798.900390625,0.01983180620057734,1.0,40625.0,-0.01627489181918751,-1.0,16.31999969482422,,,,0.0,0.0,12.390000343322754,-0.015885608168481724,0.0,-0.018594591853069335,Bearish
2025-07-01,25551.35,0.0011251851663415045,-0.0007846943507876991,1.0,-1.0,0.0013441686127458627,0.0,-0.004709842354665206,0.005164427424532603,1.0,6204.9501953125,0.004748549423642334,1.0,20369.73046875,0.006287188329406668,1.0,44094.76953125,0.008383435801872618,1.0,40487.390625,-0.0051433525973040295,-1.0,23909.609375,-0.008724665691075328,-1.0,24072.279296875,-0.004307400804921202,-1.0,8761.0,-0.005661538461538496,-1.0,40395.0,0.02512254013963844,1.0,16.729999542236328,,,,0.0,0.0,12.789999961853027,0.03228406839761244,0.0,-0.0029518298102751534,Neutral
2025-07-02,25588.3,-0.0020478109135815127,-0.0024307984508545205,-1.0,-1.0,0.0018205145028041218,1.0,0.0009699396772837598,-0.001118531087121899,-1.0,6198.009765625,-0.00819057689575009,-1.0,20202.890625,0.009075268546678616,1.0,44494.94140625,-0.012375766683531464,-1.0,39986.328125,-0.009883905202863641,-1.0,23673.2890625,,,,0.002773633681942611,1.0,8785.2998046875,-0.01596732268845158,-1.0,39750.0,0.005977309277102272,1.0,16.829999923706055,,,,0.0,0.0,12.529999732971191,-0.02032839950408938,0.0,0.011544480465588442,Bullish
2025-07-03,25505.1,-0.00030974197317390706,0.0014879377065763605,-1.0,1.0,0.0020311474530546633,1.0,-0.0034610085397696055,0.004745096791088033,1.0,6227.419921875,0.00941648588344024,1.0,20393.130859375,-0.0002364208361115283,-1.0,44484.421875,-0.005598104820983774,-1.0,39762.48046875,0.004934688719914648,1.0,23790.109375,0.006195128327310506,1.0,24221.41015625,-0.0012065165231293085,-1.0,8774.7001953125,0.0012578616352201255,1.0,39800.0,-0.011289396014196651,-1.0,16.639999389648438,,,,0.0,0.0,12.449999809265137,-0.006384670822900729,0.0,-0.011679251345223686,Neutral
