india_date,india_open,ret_30,ret_60,dir_30,dir_60,gap_pct,gap_dir,prev_india_ret,SP500_ret,SP500_dir,SP500_level,NASDAQ_ret,NASDAQ_dir,NASDAQ_level,DOW_ret,DOW_dir,DOW_level,NIKKEI_ret,NIKKEI_dir,NIKKEI_level,DAX_ret,DAX_dir,DAX_level,HANGSENG_ret,HANGSENG_dir,HANGSENG_level,FTSE_ret,FTSE_dir,FTSE_level,SGX_ret,SGX_dir,SGX_level,VIX_US_ret,VIX_US_dir,VIX_US_level,VIX_EU_ret,VIX_EU_dir,VIX_EU_level,VIX_US_spike,VIX_EU_spike,VIX_INDIA_level,VIX_INDIA_ret,VIX_INDIA_spike,composite,sentiment,China_ret,HangSeng_ret,Oil_ret,DXY_ret
2023-05-04,18081.0,0.0017062109396603,0.0025496377412752,1.0,1.0,-0.0004892030373991,0.0,-0.0031850283648763,-0.0069983050646564,-1.0,4090.75,-0.0045676621740758,-1.0,12025.330078125,-0.0080242461070316,-1.0,33414.23828125,,,,0.0056030695238509,1.0,15815.0595703125,-0.0117714769122146,-1.0,19699.16015625,0.0019812044697993,1.0,7788.39990234375,-0.0038141470180305,-1.0,28730.0,0.0314960317387948,1.0,18.34000015258789,,,,0.0,0.0,11.84000015258789,-0.005041972089558,0.0,0.0118109670718129,Bullish,,-0.011771476912214696,-0.04270171687984825,-0.006080842998717251
2023-05-05,18117.3,0.0033089919579628,0.0045564184508728,1.0,1.0,-0.0075866724724697,-1.0,0.0091737176073036,-0.0072187323343824,-1.0,4061.219970703125,-0.004900463198694,-1.0,11966.400390625,-0.0085741891701528,-1.0,33127.73828125,,,,-0.0051102770481631,-1.0,15734.240234375,0.0126690838858334,1.0,19948.73046875,-0.011016358400097,-1.0,7702.60009765625,-0.0031326139923425,-1.0,28640.0,0.0954198465343558,1.0,20.09000015258789,,,,1.0,0.0,11.729999542236328,-0.0092905919707712,0.0,0.0188303186855636,Bullish,0.00818168287453358,0.012669083885833432,-0.0005831037378584147,0.0005921175267089573
2023-05-08,18120.6,0.0039319890069865,0.0040368420471729,1.0,1.0,0.0028557197409927,1.0,-0.0102324068655403,0.0184747513895153,1.0,4136.25,0.0224804249267602,1.0,12235.41015625,0.0165009944343044,1.0,33674.37890625,,,,0.0144131075601317,1.0,15961.01953125,0.0050419287724881,1.0,20049.310546875,0.0098408074840292,1.0,7778.39990234375,0.0165851955307263,1.0,29115.0,-0.144350403011655,-1.0,17.190000534057617,,,,0.0,0.0,12.300000190734863,0.0485934075654588,0.0,-0.0191182460506304,Bearish,-0.00476351340519654,0.005041928772488102,0.04054840837648799,-0.0018737913071703582
2023-05-09,18303.4,0.0005818591081437,0.0015188434935585,1.0,1.0,0.0021352800278633,1.0,0.0108141231183243,0.0004521286642489,1.0,4138.1201171875,0.0017579930178321,1.0,12256.919921875,-0.0016537053335129,-1.0,33618.69140625,-0.0071359051287873,-1.0,28949.880859375,-0.0005130908529349,-1.0,15952.830078125,0.0123554747391856,1.0,20297.029296875,,,,-0.0017173278378842,-1.0,29065.0,-0.0122164622045953,-1.0,16.979999542236328,,,,0.0,0.0,12.640000343322754,0.0276422883996376,0.0,0.0037059568242042,Neutral,0.018143649722597077,0.012355474739185635,0.025511738402656636,0.001580907652966479
2023-05-10,18313.6,-0.0040871265070766,-0.0047669491525423,-1.0,-1.0,0.0026087218725586,1.0,8.480038171931881e-05,-0.0045794212772585,-1.0,4119.169921875,-0.0063123621334441,-1.0,12179.5498046875,-0.0016919996026205,-1.0,33561.80859375,0.0101188483140211,1.0,29242.8203125,0.0001661392124168,1.0,15955.48046875,-0.0211582302251551,-1.0,19867.580078125,-0.0018383992681054,-1.0,7764.10009765625,0.0061930156545673,1.0,29245.0,0.0429917292059116,1.0,17.709999084472656,,,,0.0,0.0,12.68000030517578,0.0031645538581142,0.0,0.0033614972589904,Neutral,-0.010995604749631793,-0.021158230225155172,0.007517706326306994,0.0026634767263584713
2023-05-11,18357.8,-0.0024921286864439,-0.0018847574328077,-1.0,-1.0,0.0023314309796678,1.0,0.0026908205008338,0.0044839652634049,1.0,4137.64013671875,0.010418334588292,1.0,12306.4404296875,-0.0009081891002642,-1.0,33531.328125,-0.0041254784494377,-1.0,29122.1796875,-0.0037134575869429,-1.0,15896.23046875,-0.0053041618033304,-1.0,19762.19921875,-0.0029366304764196,-1.0,7741.2998046875,-0.0061548982732091,-1.0,29065.0,-0.0434781812659798,-1.0,16.940000534057617,,,,0.0,0.0,13.079999923706056,0.0315457104813321,0.0,0.0033519918809663,Neutral,-0.011472247251075651,-0.005304161803330487,-0.015601703163243719,-0.00157414436910297
2023-05-12,18273.75,-0.0038169505438128,-0.0016170736712497,-1.0,-1.0,-0.0012707001147729,0.0,-0.0009882342854272,-0.0016966239932159,-1.0,4130.6201171875,0.0017933159522116,1.0,12328.509765625,-0.0066151989394246,-1.0,33309.51171875,0.0001559297989961,1.0,29126.720703125,-0.0038575379628867,-1.0,15834.91015625,-0.0009315843872544,-1.0,19743.7890625,-0.0013821589786215,-1.0,7730.60009765625,0.0027524514020298,1.0,29145.0,-0.0005903322648502,-1.0,16.93000030517578,,,,0.0,0.0,13.220000267028809,0.0107033902247213,0.0,0.0036574647803631,Neutral,-0.0028922627172838222,-0.0009315843872544916,-0.023290998744135982,0.00571535457700123
2023-05-15,18339.3,0.0013877301750885,0.0024073983194561,1.0,1.0,0.0013376732317547,0.0,0.0009728797753729,-0.0015833068345566,-1.0,4124.080078125,-0.0035502694228333,-1.0,12284.740234375,-0.0002669094964545,-1.0,33300.62109375,0.0089807596533493,1.0,29388.30078125,0.0049833030608548,1.0,15913.8203125,-0.0059030628698503,-1.0,19627.240234375,0.0031045455329239,1.0,7754.60009765625,0.0152684851604047,1.0,29590.0,0.0059066969679353,1.0,17.030000686645508,,,,0.0,0.0,12.850000381469728,-0.0279878879035936,0.0,0.0030233054969699,Neutral,-0.011237159389512308,-0.005903062869850317,-0.011711609974429105,0.006074884983473305
2023-05-16,18432.35,-0.0019992024891019,-0.0016655499705678,-1.0,-1.0,0.0018207872413897,1.0,0.0045891205221868,0.0029581644391338,1.0,4136.27978515625,0.0065503807998585,1.0,12365.2099609375,0.0014408280438651,1.0,33348.6015625,0.0080997899222492,1.0,29626.33984375,0.0002149026322932,1.0,15917.240234375,0.0175210891033836,1.0,19971.130859375,0.0029788896094373,1.0,7777.7001953125,0.0098006083136195,1.0,29880.0,0.0052848002911982,1.0,17.1200008392334,,,,0.0,0.0,13.170000076293944,0.0249026992470497,0.0,-0.0182459515433864,Bearish,0.011728502228545157,0.01752108910338368,0.015276980023382736,-0.002434748726694358
2023-05-17,18300.45,-0.0022157925078344,-0.0017321978421296,-1.0,-1.0,0.0007628578459519,0.0,-0.0061063388070606,-0.006377683373153,-1.0,4109.89990234375,-0.0017921374825017,-1.0,12343.0498046875,-0.0100892067953561,-1.0,33012.140625,0.0073127626216271,1.0,29842.990234375,-0.0012131843580079,-1.0,15897.9296875,0.0003564715826624,1.0,19978.25,-0.0034200466703874,-1.0,7751.10009765625,0.0001673360107095,1.0,29885.0,0.0508176921283214,1.0,17.989999771118164,,,,1.0,0.0,13.289999961853027,0.0091116085697739,0.0,0.0101534468732931,Bullish,-0.0059654337272803115,0.0003564715826624987,-0.0035156799023231544,0.0012691326079337095
