date,win,exit_reason,entry_prem,exit_prem,dte,Gap Up,Gap Up Strong,Gap Down,Prev India UP,Prev India DOWN,US UP,US DOWN,SGX UP,SGX DOWN,DAX UP,VIX Rising,VIX Falling,VIX Spike
2024-07-10,False,Stop Loss,57.55,48.92,1,False,False,False,True,False,True,False,False,True,False,False,False,False
2024-07-11,False,Stop Loss,34.0,28.9,0,True,False,False,False,True,True,False,True,False,True,False,False,False
2024-07-12,False,Stop Loss,92.35,78.5,6,True,False,False,False,True,False,True,False,True,True,False,False,False
2024-07-16,False,Stop Loss,79.65,67.7,2,False,False,False,True,False,True,False,True,False,False,True,False,True
2024-07-18,False,Stop Loss,32.65,27.75,0,False,False,True,True,False,False,True,False,True,False,True,False,True
2024-07-19,False,11:15 exit,193.6,245.2,6,True,False,False,True,False,False,True,False,True,False,True,False,True
2024-07-23,False,11:15 exit,209.55,195.8,2,True,False,False,False,True,True,False,True,False,True,False,True,False
2024-07-24,False,Stop Loss,87.75,74.59,1,False,False,False,False,True,False,True,False,True,True,False,True,False
2024-07-25,False,Stop Loss,57.5,48.88,0,False,False,True,False,True,False,True,False,True,False,True,False,True
2024-07-26,False,Stop Loss,135.75,115.39,6,False,False,False,False,True,False,True,False,True,False,False,False,False
2024-07-30,False,Stop Loss,85.15,72.38,2,False,False,False,True,False,True,False,False,True,False,False,False,False
2024-07-31,False,Stop Loss,69.35,58.95,1,False,False,False,True,False,False,True,False,True,True,True,False,True
2024-08-01,False,Stop Loss,34.4,29.24,0,True,False,False,True,False,True,False,False,True,True,False,True,False
2024-08-02,True,Target Hit,144.0,201.6,6,False,False,True,True,False,False,True,False,True,False,True,False,True
2024-08-06,True,Target Hit,130.35,182.49,2,True,True,False,False,True,False,True,True,False,False,True,False,True
2024-08-07,True,Target Hit,71.15,99.61,1,True,True,False,False,True,True,False,False,True,True,False,True,False
2024-08-16,True,Target Hit,119.35,167.09,6,True,True,False,True,False,True,False,True,False,True,False,True,False
2024-08-20,False,Stop Loss,69.15,58.78,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-08-21,False,Stop Loss,60.0,51.0,1,False,False,False,True,False,False,True,False,True,False,True,False,True
2024-08-22,False,Stop Loss,30.65,26.05,0,True,False,False,True,False,True,False,True,False,True,False,False,False
2024-08-23,False,Stop Loss,109.75,93.29,6,False,False,False,True,False,False,True,True,False,True,True,False,True
2024-08-27,False,Stop Loss,66.05,56.14,2,False,False,False,True,False,False,True,False,True,False,False,False,False
2024-08-28,True,Target Hit,59.55,83.37,1,False,False,False,True,False,True,False,False,True,True,False,True,False
2024-08-29,False,Stop Loss,34.8,29.58,0,False,False,False,True,False,False,True,False,True,True,True,False,True
2024-08-30,False,11:15 exit,107.8,98.25,6,True,False,False,True,False,False,True,True,False,True,False,True,False
2024-09-03,False,Stop Loss,70.8,60.18,2,False,False,False,True,False,False,False,True,False,True,False,False,False
2024-09-04,False,Stop Loss,63.35,53.85,1,False,False,True,True,False,False,True,False,True,False,True,False,True
2024-09-05,True,Target Hit,41.85,58.59,0,True,False,False,False,True,False,True,False,True,False,False,False,False
2024-09-06,False,Stop Loss,109.6,93.16,6,False,False,True,False,True,False,True,True,False,False,False,True,False
2024-09-10,True,Target Hit,77.3,108.22,2,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-09-11,False,Stop Loss,67.85,57.67,1,False,False,False,True,False,True,False,False,True,False,False,True,False
2024-09-12,False,Stop Loss,35.85,30.47,0,True,True,False,False,True,True,False,True,False,True,False,True,False
2024-09-13,False,Stop Loss,130.45,110.88,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-09-17,False,Stop Loss,77.1,65.53,2,False,False,False,True,False,True,False,True,False,False,True,False,False
2024-09-18,False,Stop Loss,73.8,62.73,1,False,False,False,True,False,True,False,True,False,True,False,False,False
2024-09-19,False,Stop Loss,33.95,28.86,0,True,False,False,False,True,False,True,True,False,False,True,False,False
2024-09-20,False,Stop Loss,137.3,116.71,6,True,False,False,True,False,True,False,True,False,True,False,True,False
2024-09-24,False,Stop Loss,102.15,86.83,2,False,False,False,True,False,True,False,True,False,True,False,True,False
2024-09-25,False,Stop Loss,79.3,67.41,1,False,False,True,True,False,True,False,True,False,True,False,True,False
2024-09-26,False,Stop Loss,40.6,34.51,0,False,False,False,True,False,False,True,True,False,False,False,False,False
2024-09-27,False,Stop Loss,127.6,108.46,6,False,False,False,True,False,True,False,True,False,True,False,True,False
2024-10-01,True,Target Hit,72.75,101.85,2,False,False,False,False,True,True,False,True,False,False,False,True,False
2024-10-03,False,Stop Loss,60.8,51.68,0,False,False,True,False,True,True,False,True,False,False,False,True,False
2024-10-04,False,Stop Loss,146.6,124.61,6,False,False,True,False,True,False,True,True,False,False,True,False,True
